Date,supply/active_1w_1m
2017-11-27,7550677.42609301
2017-11-28,8195944.2447506
2017-11-29,8144831.18188461
2017-11-30,8163902.37999064
2017-12-01,8393392.51000943
2017-12-02,8515219.08810681
2017-12-03,8523729.18868053
2017-12-04,7770057.6358703
2017-12-05,7831022.57237635
2017-12-06,9447170.88489003
2017-12-07,9983527.3376841
2017-12-08,9944051.90619582
2017-12-09,10105112.0453249
2017-12-10,10023660.1987517
2017-12-11,10094772.1835118
2017-12-12,9914944.94540572
2017-12-13,9972718.20781329
2017-12-14,9957005.56277032
2017-12-15,9768591.97215254
2017-12-16,9533408.22153356
2017-12-17,9741693.31256106
2017-12-18,9631906.50668978
2017-12-19,9884976.2604685
2017-12-20,9866247.3919173
2017-12-21,9438597.71534831
2017-12-22,9431534.14609875
2017-12-23,9611412.42252676
2017-12-24,9741795.83531155
2017-12-25,9737610.58947941
2017-12-26,8695785.22807665
2017-12-27,8592052.9957588
2017-12-28,8527337.13487124
2017-12-29,8415318.45247605
2017-12-30,8418755.30753424
2017-12-31,8584953.69144141
2018-01-01,8704761.80374861
2018-01-02,8844555.30613078
2018-01-03,8629634.44945538
2018-01-04,8286899.83079371
2018-01-05,7975646.12621846
2018-01-06,7987091.56540284
2018-01-07,8045368.02967896
2018-01-08,7859034.07794932
2018-01-09,7895233.08952331
2018-01-10,7798169.8145381
2018-01-11,7708430.67896548
2018-01-12,7572931.41941671
2018-01-13,7416074.96396764
2018-01-14,7422675.74092469
2018-01-15,7523874.75020834
2018-01-16,7561440.67566034
2018-01-17,7763400.18715396
2018-01-18,7924983.52735402
2018-01-19,7957174.27905126
2018-01-20,8005428.02659033
2018-01-21,7816274.96995438
2018-01-22,8154693.29880844
2018-01-23,8399681.00077036
2018-01-24,8629603.15048131
2018-01-25,9077367.12543086
2018-01-26,9101750.50802586
2018-01-27,9119237.57899722
2018-01-28,8833081.10757515
2018-01-29,8700346.64057881
2018-01-30,8627882.61300067
2018-01-31,8756828.17841738
2018-02-01,8738006.62850147
2018-02-02,8694303.28190176
2018-02-03,8811228.15429946
2018-02-04,8874649.13665852
2018-02-05,9028961.90573003
2018-02-06,8965832.47268277
2018-02-07,9032200.7819657
2018-02-08,8910185.69227583
2018-02-09,9073565.34333588
2018-02-10,8822150.09328965
2018-02-11,8747393.04041687
2018-02-12,8876023.06274739
2018-02-13,8967704.49193018
2018-02-14,9348366.75290173
2018-02-15,9276590.52268011
2018-02-16,9369081.50268799
2018-02-17,9356621.2295877
2018-02-18,9267836.21823297
2018-02-19,9541354.32652697
2018-02-20,9655432.75843901
2018-02-21,9809380.15688191
2018-02-22,9808761.81829833
2018-02-23,9296808.1720898
2018-02-24,8873174.57092323
2018-02-25,8657552.40031257
2018-02-26,8698358.33160522
2018-02-27,8615587.1780647
2018-02-28,8621564.47303737
2018-03-01,10371915.5903187
2018-03-02,10861094.2702982
2018-03-03,10755980.4035539
2018-03-04,10590576.7226816
2018-03-05,10441912.9747339
2018-03-06,10182148.2966688
2018-03-07,10030946.0923165
2018-03-08,9873191.9217378
2018-03-09,9669470.12358397
2018-03-10,9556616.7424802
2018-03-11,9622656.01845394
2018-03-12,9300570.29348545
2018-03-13,9531708.78990426
2018-03-14,9193231.34870231
2018-03-15,9054240.31225831
2018-03-16,8360321.84827657
2018-03-17,8346397.3259688
2018-03-18,8558947.46982953
2018-03-19,8754389.40737249
2018-03-20,9565197.31654222
2018-03-21,9418988.02510245
2018-03-22,9629202.67203851
2018-03-23,9541934.53983055
2018-03-24,7746996.57363438
2018-03-25,7378228.04780162
2018-03-26,8066826.61544283
2018-03-27,7281954.92621728
2018-03-28,7373342.12090591
2018-03-29,7614315.84107417
2018-03-30,7636798.26824235
2018-03-31,7586468.15955191
2018-04-01,7595136.24126862
2018-04-02,8002719.28919802
2018-04-03,8297635.70380102
2018-04-04,8029427.43407973
2018-04-05,7848192.32710259
2018-04-06,7935808.37834855
2018-04-07,7701423.05910302
2018-04-08,7519189.16024279
2018-04-09,7122197.41514239
2018-04-10,7137263.2260007
2018-04-11,7178687.74769985
2018-04-12,6506538.98280351
2018-04-13,6761423.84610521
2018-04-14,6713311.56664993
2018-04-15,6531232.72540216
2018-04-16,6568358.69688269
2018-04-17,6368182.46373987
2018-04-18,6057554.16541735
2018-04-19,6036278.46672045
2018-04-20,5790533.14910748
2018-04-21,5728004.4221564
2018-04-22,5739443.53971773
2018-04-23,6085615.81905944
2018-04-24,6036785.78964986
2018-04-25,6389621.70680273
2018-04-26,6213490.54054724
2018-04-27,5770875.62949414
2018-04-28,5586075.73045613
2018-04-29,5513010.76556111
2018-04-30,5560036.99463859
2018-05-01,5501653.31700111
2018-05-02,5491289.92355912
2018-05-03,5564732.46787507
2018-05-04,5567986.11501413
2018-05-05,5798547.54595036
2018-05-06,5824800.29789749
2018-05-07,5530155.69046223
2018-05-08,6835473.80286705
2018-05-09,6819621.84855195
2018-05-10,7086669.36618296
2018-05-11,7110012.28397233
2018-05-12,7045471.37976394
2018-05-13,6593044.34413154
2018-05-14,6773924.63830462
2018-05-15,6786761.14579882
2018-05-16,6971190.81078516
2018-05-17,6924000.18955771
2018-05-18,7089491.38414418
2018-05-19,7032231.13365191
2018-05-20,6883798.20301551
2018-05-21,6937324.32532957
2018-05-22,6707504.22619718
2018-05-23,6572780.84608729
2018-05-24,6671420.76002538
2018-05-25,6614710.14329551
2018-05-26,6626545.11314944
2018-05-27,6430837.00330284
2018-05-28,6241389.59505289
2018-05-29,6402379.93269955
2018-05-30,6366317.80571853
2018-05-31,6255605.24706222
2018-06-01,6089389.68296983
2018-06-02,5772628.58466095
2018-06-03,5832813.11961257
2018-06-04,5901411.529405
2018-06-05,5986221.57118913
2018-06-06,6580312.13327023
2018-06-07,6588145.00260729
2018-06-08,6907108.56803977
