Date,supply/active_24h
2019-06-15,795965.645672182
2019-06-16,466724.398330561
2019-06-17,472087.744868948
2019-06-18,593920.860843296
2019-06-19,952382.769696512
2019-06-20,482389.085253435
2019-06-21,648408.974233142
2019-06-22,489481.509968016
2019-06-23,402492.500519849
2019-06-24,478505.008154859
2019-06-25,713490.673488982
2019-06-26,745480.771887041
2019-06-27,626547.061307887
2019-06-28,711548.274693738
2019-06-29,797767.93457105
2019-06-30,344344.475690079
2019-07-01,446870.706183984
2019-07-02,507335.85877002
2019-07-03,503674.646588337
2019-07-04,365505.446359493
2019-07-05,368866.154704153
2019-07-06,284045.560517336
2019-07-07,265883.540022561
2019-07-08,377041.864498003
2019-07-09,2735482.12634793
2019-07-10,610267.02892703
2019-07-11,732978.088293731
2019-07-12,490243.659254424
2019-07-13,297914.476149921
2019-07-14,381623.679641257
2019-07-15,545512.873700955
2019-07-16,577946.938237669
2019-07-17,572447.877980203
2019-07-18,603375.450879544
